,Unnamed: 0,rendimiento,riesgo,coeficiente_variacion,beta,alfa,sharpie,teynor
2703,MYGN,-0.17326696893219493,1.3095106730819526,-7.557762920146698,1.409435713827282,-0.001824193250263847,-0.1628600463639353,-0.15131372565625906
2704,CNFR,-0.17393211525410668,1.0440520669371562,-6.0026411189897,0.2302975379350289,-0.0008668989787520831,-0.20490560004512084,-0.9289379173235488
2705,PPIH,-0.17395107162666582,0.5435330913453782,-3.1246320374036567,0.2064094520857597,-0.0008475266255503972,-0.3936302591937581,-1.0365371811450412
2706,CTL,-0.1748321036264823,0.6576726525360996,-3.7617384844901003,1.0697988285018574,-0.0015538213112210356,-0.3266550658569313,-0.2008154223979965
2707,LGND,-0.17507856151976384,0.7720557048958897,-4.409767239312941,1.1607003586399425,-0.0016287835895322125,-0.27857907163417284,-0.18530067637075895
2708,WNEB,-0.17554934404313052,0.8015369146119741,-4.5658781522706535,1.2708249360886696,-0.0017202709032285565,-0.26892004611849785,-0.16961371934244998
2709,RKDA,-0.17560288671159108,1.686831107067192,-9.605941785214675,0.8310836147110628,-0.0013625030125135036,-0.12781533717767926,-0.25942382077469817
2710,MD,-0.17641519117152635,0.8810822416047368,-4.994367184332052,1.2450857834164075,-0.0017026998324413244,-0.2456242799507161,-0.17381548649419304
2711,ATI,-0.17675831660383964,0.9955631022862744,-5.632340935434367,1.684820780798976,-0.002062012059796057,-0.217724337217864,-0.1286536343058687
2712,BJRI,-0.17783379047368872,1.2374139682390688,-6.958261222139049,1.9955852909182048,-0.0023191949500693514,-0.17603954381061518,-0.10915784530234712
2713,OTEL,-0.17796241021150833,1.0040274260844129,-5.64179494361268,0.7590143358671694,-0.0013130509838275494,-0.2170881039191685,-0.2871650770106833
2714,FLDM,-0.17815705502440396,1.668072704207065,-9.362933755155378,1.2524835092506228,-0.0017155262013614865,-0.13078390077014482,-0.17417958273552853
2715,MFA,-0.17918107129887706,2.5314366066469427,-14.127812655079305,0.0021437506923745234,-0.0007016712074056121,-0.08658366981158461,-102.24186612674693
2716,BFS,-0.17987716539363285,0.7512350621549214,-4.176378144001557,1.395153316617493,-0.0018383875622395864,-0.292687570735735,-0.15760071869858602
2717,FSP,-0.1805156607003688,0.8139192153336177,-4.508856528988981,1.5335446940775272,-0.001953540953743595,-0.2709306483321954,-0.14379474008940804
2718,MYOS,-0.18134433932178795,3.758897654830343,-20.72795692927771,,,-0.058885439202461684,
2719,PK,-0.1821065362673224,1.0559429531291022,-5.798490129860227,1.7917388042625706,-0.002169941526075441,-0.21033952223379926,-0.12396144780641465
2720,CARE,-0.1828097352758513,0.8556075150733666,-4.6803170180313165,1.502724197425919,-0.0019374123634247973,-0.2604111480446099,-0.14827054469310585
2721,THR,-0.1834954756792128,0.7229744121894518,-3.9400121965587713,1.2893991241051228,-0.0017664310350312207,-0.3091333135876556,-0.17333304443984682
2722,PNBK,-0.1835548387709008,0.9669128453831516,-5.267705563403746,0.8434380119394457,-0.0014036225801757269,-0.2312047459482393,-0.265051889535838
2723,LIVN,-0.18358523414517855,0.7747985368168236,-4.220375023211919,1.2394319639575586,-0.001726105248831122,-0.2885720913513265,-0.18039330971525167
2724,ZUO,-0.18537813692370755,0.8666646232452234,-4.67511777616958,1.0491408445575647,-0.0015781998579869135,-0.26005230960020004,-0.2148216210367372
2725,NTNX,-0.18569921894981628,1.0286815559909015,-5.539503945188347,1.3998941378026826,-0.0018649892850083254,-0.21940630473578016,-0.16122591905705155
2726,MBI,-0.1864835639865707,0.7111595767091095,-3.813524160018319,1.2183812361842536,-0.0017202902358400918,-0.3184708065588082,-0.18588891330588414
2727,BGSF,-0.1881844714638527,1.0659455346854882,-5.66436500521904,1.5989827328487392,-0.002036767917429572,-0.21406766484666545,-0.14270602601024995
2728,GDP,-0.18835140028475086,1.0403316773667923,-5.523355153155283,1.2027723377948618,-0.0017148798481925692,-0.21949865149039435,-0.1898542168864689
2729,ONCT,-0.18870517888567115,1.7992651571365312,-9.534794793452033,0.4828620950746678,-0.0011302096636192304,-0.12711032500048386,-0.4736449210209908
2730,ZVO,-0.18888960702858096,1.4939548527713158,-7.9091426800695555,,,-0.15321052480534214,
2731,PCYG,-0.1890500135127563,0.905616724035476,-4.790355246255343,0.8246269787738307,-0.0014097747445917564,-0.2529215808781637,-0.2777619692401278
2732,EQT,-0.1900807394719627,0.9861300161310556,-5.187953386915941,0.7906377726906179,-0.0013861316703374779,-0.2333168402830416,-0.2910065107172597
2733,LFVN,-0.1900975832434421,0.7530091827844873,-3.961171783126624,0.9491971810108436,-0.0015152747787644711,-0.3055707533241284,-0.2424128388143764
2734,HAL,-0.19044529414936498,1.0448824996359187,-5.486523068490336,1.9586756409415187,-0.002338411864100577,-0.22054661096311007,-0.11765362744726428
